상품명,성별구분,카테고리,소재,사이즈,색상,가격,어울리는 스타일,사용 상황,공식 상품설명,주요 디테일,상품이미지,상품링크,스타일코드
L Pina 비세토스 스터드 장식 토트,여성,핸드백 > 쇼퍼·토트백,"비세토스 모노그램 캔버스 바디, 나파 가죽 트림",약 18 x 41 x 32 cm / 스트랩 112.5~136.5cm,Cognac,"₩1,850,000","""나파 가죽 트림과 메탈 스터드 장식이 돋보이는"" 럭셔리 캐주얼",탈부착 가능한 길이 조절 가죽 스트랩 — 숄더·크로스 겸용 / 대용량 데일리 토트,나파 가죽 트림과 메탈 스터드 장식이 돋보이는 비세토스 모노그램 캔버스 토트백,탈부착 조절 가죽 스트랩; 가죽 핸들; 로고 브라스 플레이트; 양방향 지퍼; 내부 슬립·지퍼 포켓; 메탈 피트; 24K 골드 도금 브라스 하드웨어,https://images.mcmworldwide.com/i/mcmworldwide/MWTGATA01CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWTGATA01CO001.html,MWTGATA01CO001
M Pina 비세토스 스터드 장식 토트,여성,핸드백 > 쇼퍼·토트백,"비세토스 모노그램 캔버스 바디, 나파 가죽 트림","약 13 x 30 x 24 cm / 스트랩 107.5~131.5cm, 핸들 드롭 11cm",Cognac,"₩1,690,000","""바이에른 다이아몬드와 라우렐 엠블럼 스터드 장식""의 시그니처 무드",숄더·크로스 겸용 / 데일리~세미 포멀,"나파 가죽 트림과 메탈 스터드 장식이 돋보이는 비세토스 모노그램 캔버스 토트백으로, 바이에른 다이아몬드와 라우렐 엠블럼 스터드 장식이 특징입니다.",탈부착 조절 가죽 스트랩; 가죽 핸들; D링 참 장식; 양방향 지퍼; 24K 골드 도금 브라스 하드웨어; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWTGATA02CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWTGATA02CO001.html,MWTGATA02CO001
M New Liz 엠보스드 모노그램 레더 쇼퍼,여성,핸드백 > 쇼퍼·토트백,풀그레인 가죽,17 x 30 x 35 cm / 핸들 드롭 26.5cm,Black,"₩1,490,000","""엠보싱 비세토스 모노그램"" 로고리스에 가까운 미니멀 포멀",탈착 가능한 지퍼 파우치 포함 — 출근·비즈니스 데일리백,엠보싱 비세토스 모노그램과 탈착 가능한 지퍼 파우치가 포함된 그레인드 나파 가죽 쇼퍼백,가죽 핸들 스트랩; 후크 잠금; 탈부착 레더 파우치; D링 참; 바닥 레더 패드; 실버톤 코발트 브라스 하드웨어; 이탈리아 제조,https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR01BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWPGALR01BK001.html,MWPGALR01BK001
S New Liz 엠보스드 모노그램 레더 쇼퍼,여성,핸드백 > 쇼퍼·토트백,풀그레인 가죽,약 15 x 25 x 31 cm / 핸들 드롭 26cm,Black,"₩1,350,000",엠보스드 모노그램의 절제된 포멀,탈착 파우치 포함 / 데일리·오피스,엠보싱 비세토스 모노그램과 탈착 가능한 지퍼 파우치가 포함된 그레인드 나파 가죽 쇼퍼백,가죽 핸들 스트랩; 후크 잠금; 탈부착 레더 파우치; 스웨이드 마감 극세사 안감; 이탈리아 제조,https://images.mcmworldwide.com/i/mcmworldwide/MWPGALR02BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWPGALR02BK001.html,MWPGALR02BK001
M New Liz 비세토스 쇼퍼,여성,핸드백 > 쇼퍼·토트백,"비세토스 모노그램 캔버스(바디), 천연 가죽(트림), 패브릭 안감","17 x 30 x 35 cm / 핸들 드롭 26.5cm (S, M)","Cognac, Cinnamon, Black, Beige+Black, Soft Pink","₩1,090,000","""바이에른 다이아몬드에서 영감을 받은 가죽 핸들 스트랩""의 헤리티지 캐주얼",매치 지퍼 파우치 포함 — 데일리 쇼퍼,천연 나파 가죽 트리밍과 매치된 지퍼 파우치가 포함된 비세토스 모노그램 캔버스 쇼퍼백,후크 클라스프 클로저; 탈착 비세토스 지퍼 파우치; D링 디테일; 바닥 레더 패드; 24K 골드 도금 브라스 하드웨어,https://images.mcmworldwide.com/i/mcmworldwide/MWPGSLR02CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWPGSLR02CO001.html,MWPGSLR02CO001
Leni 비세토스 쇼퍼,여성,핸드백 > 쇼퍼·토트백,"비세토스 모노그램 캔버스, 천연 가죽",16 x 34 x 36 cm / 핸들 드롭 25cm,Soft Pink,"₩1,450,000","""앞면 플랩 수납 공간""의 실용적 캐리올 무드",캐리올 쇼퍼 — 대용량 데일리·트래블,앞면 플랩 수납 공간과 천연 나파 가죽 트림이 더해진 비세토스 캐리올 쇼퍼,잠금 장치; 두 개의 앞면 플랩 포켓; 16K 골드 도금 메탈 하드웨어; 패브릭 안감; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWPGSTA01PZ001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWPGSTA01PZ001.html,MWPGSTA01PZ001
S Tracy 비세토스 숄더백,여성,핸드백 > 숄더·크로스백,"비세토스 모노그램 캔버스, 나파 가죽 트림, 극세사 스웨이드 안감",약 7 x 25 x 15 cm / 스트랩 109~134cm,Cognac,"₩1,450,000","""로고 락 클로저""의 클래식 시그니처",탈부착·길이 조절 스트랩 — 숄더·크로스 겸용,로고 락 클로저와 나파 가죽 트림을 더한 비세토스 모노그램 캔버스 숄더 백,탈부착·길이 조절 가죽 스트랩; 24K 골드 도금 브라스 하드웨어; 내부 슬립·지퍼 수납; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWSGAXT03CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWSGAXT03CO001.html,MWSGAXT03CO001
L Tracy 비세토스 호보,여성,핸드백 > 숄더·크로스백,"비세토스 모노그램 캔버스 바디, 나파 가죽 트림, 마이크로파이버 스웨이드 안감",11 x 33 x 31 cm / 스트랩 73~105cm,Cognac,"₩1,690,000","""로고 자물쇠가 있는 가죽 스트랩 잠금 장치""의 소프트 캐주얼",숄더 착용 중심의 대용량 호보 — 데일리,로고 락 클로저와 나파 가죽 트림이 돋보이는 비세토스 모노그램 캔버스 호보 백,탈부착·길이 조절 가죽 스트랩; 내부 슬립·지퍼 수납; 24K 골드 도금 브라스 하드웨어; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWHGAXT03CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWHGAXT03CO001.html,MWHGAXT03CO001
S Pina 비세토스 탬버린 백,여성,핸드백 > 숄더·크로스백,"비세토스 모노그램 캔버스 바디, 스터드 장식 나파 가죽 트림, 극세사 안감",약 6 x 19 x 19 cm / 스트랩 120.5~140.5cm,Cognac,"₩1,690,000","""1970~80년대의 리드미컬한 감성""을 담은 레트로 디스코","""크로스바디 또는 벨트백 스타일 변형 가능"" — 파티·나이트아웃",1970~80년대의 리드미컬한 감성을 고스란히 담아낸 탬버린 백으로 메탈 스터드와 탈착 가능한 가죽 태슬이 특징,탈부착 크로스바디 스트랩; 탈부착 가죽 태슬; 뒷면 벨트 루프; 지퍼 클로저; 내부 카드 슬롯; 24K 골드 도금 브라스 하드웨어,https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB01CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWRGAOB01CO001.html,MWRGAOB01CO001
S Pina 스터드 장식 카프스킨 탬버린 백,여성,핸드백 > 숄더·크로스백,100% 카프스킨,약 6 x 19 x 19 cm / 스트랩 120.5~140.5cm,Black,"₩2,250,000","""로고 메탈 스터드와 레더 태슬 장식""의 하이엔드 레더 무드",크로스바디·벨트백 겸용 — 이브닝·파티,로고 메탈 스터드와 레더 태슬 장식이 돋보이는 그레인 가죽 탬버린 백,탈부착·길이 조절 크로스바디 스트랩; 탈부착 가죽 태슬; 뒷면 벨트 루프; 24K 골드 도금 브라스 하드웨어; 이탈리아 제조,https://images.mcmworldwide.com/i/mcmworldwide/MWRGAOB03BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWRGAOB03BK001.html,MWRGAOB03BK001
Pina 스터드 장식 카프스킨 베니티 케이스,여성,핸드백 > 탑핸들백,카프스킨,약 6 x 19 x 12 cm / 스트랩 103~135cm,Black,"₩1,550,000","""70~80년대의 화려한 감성""을 담은 글램",탑 핸들 + 탈부착 스트랩 — 이브닝·디너,"70~80년대의 화려한 감성을 담아낸 카프스킨 소재의 Pina 베니티 케이스로, 가죽 태슬과 메탈 로고 스터드, 아이코닉한 로고 브라스 플레이트가 어우러져 고급스러운 분위기를 완성합니다.",탈부착·길이 조절 가죽 스트랩; 가죽 탑 핸들; 가죽 태슬; 양방향 지퍼; 내부 카드 슬롯; 이탈리아 제조,https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA01BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWRGATA01BK001.html,MWRGATA01BK001
Pina 스터드 장식 카프스킨 드로우스트링 백,여성,핸드백 > 숄더·크로스백,100% 카프스킨,약 18 x 30 x 34 cm / 스트랩 96~120cm,Black,"₩1,790,000","""메탈 스터드장식과 체인 핸들""의 록시크",대용량 드로우스트링 — 데일리·주말,"메탈 스터드장식과 체인 핸들, 레더 스트랩이 더해진 그레인 가죽 드로우스트링 백",탈부착·길이 조절 가죽 스트랩; 로고 브라스 플레이트; 가죽 드로스트링 잠금; 24K 골드 도금 브라스 하드웨어; 이탈리아 제조,https://images.mcmworldwide.com/i/mcmworldwide/MWDGADU03BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWDGADU03BK001.html,MWDGADU03BK001
미니 Dessau 비세토스 드로우스트링 백,여성,핸드백 > 숄더·크로스백,"비세토스 모노그램 캔버스, 나파 가죽 트림","약 11 x 22 x 18 cm / 스트랩 96~120cm, 핸들 드롭 19cm",Cognac,"₩1,250,000","""체인 핸들""이 더해진 페미닌 캐주얼",체인 핸들·크로스 스트랩 2way — 데일리·주말 나들이,"나파 가죽 트림과 레더 스트랩, 체인 핸들이 더해진 비세토스 모노그램 캔버스 드로우스트링 백",탈부착·길이 조절 가죽 스트랩; 체인 핸들; 가죽 드로스트링 잠금; 24K 골드 도금 브라스 하드웨어; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWDGADU01CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWDGADU01CO001.html,MWDGADU01CO001
S Aren 비세토스 레더 믹스 베니티 케이스,여성,핸드백 > 탑핸들백,"비세토스 모노그램 캔버스, 나파 가죽",9 x 23 x 14 cm / 스트랩 99~123cm,Cognac,"₩1,190,000","""바바리안 다이아몬드 레더 참""의 헤리티지 미니멀",탑 핸들 + 크로스 스트랩 — 데일리·나들이,나파 가죽과 바바리안 다이아몬드 레더 참을 매치한 비세토스 모노그램 캔버스 바니티 케이스,탈부착 크로스바디 스트랩; 가죽 탑 핸들; 탈부착 바이에른 다이아몬드 레더 참; 양방향 지퍼; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWRGATA05CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWRGATA05CO001.html,MWRGATA05CO001
미니 Aren 비세토스 레더 믹스 베니티 케이스,여성,핸드백 > 탑핸들백,"비세토스 모노그램 캔버스 바디, 천연 가죽 트림","약 6 x 19 x 12 cm / 스트랩 125~133cm, 핸들 드롭 4cm","Cognac, Soft Pink, Black","₩990,000","""바이에른 다이아몬드 가죽 참 장식""의 미니멀 큐트",미니 사이즈 탑핸들 — 가벼운 외출·데이트,천연 가죽 트리밍과 바이에른 다이아몬드 가죽 참 장식이 어우러진 비세토스 모노그램 캔버스 배니티 케이스,탈부착·길이 조절 가죽 스트랩; 가죽 탑 핸들; 탈부착 참; 양방향 지퍼; 내부 카드 슬롯; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWRGSTA02CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWRGSTA02CO001.html,MWRGSTA02CO001
미니 Aren 맥시 모노그램 레더 베니티 케이스,여성,핸드백 > 탑핸들백,천연 풀 그레인 레더,약 6 x 19 x 12 cm / 스트랩 125~133cm,Black,"₩1,250,000","""엠보싱 처리된 맥시 비세토스 모노그램""의 톤온톤 시크",탑 핸들 + 크로스 스트랩 — 오피스·이브닝,엠보싱 처리된 맥시 비세토스 모노그램 모티프와 바이에른 다이아몬드 레더 참이 어우러진 내추럴 풀그레인 레더 베니티 케이스,탈부착·길이 조절 가죽 스트랩; 가죽 탑 핸들; 양방향 지퍼; 실버톤 코발트 브라스 하드웨어; 이탈리아 제조,https://images.mcmworldwide.com/i/mcmworldwide/MWRGSTA01BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWRGSTA01BK001.html,MWRGSTA01BK001
미니 비세토스 오리지널 보스턴 백,여성,핸드백 > 탑핸들백,코티드 캔버스,약 8 x 18 x 10 cm / 스트랩 102~118cm,Cognac,"₩990,000","""클래식한 스타일에 신선한 감각""의 레트로",미니 보스턴 — 가벼운 외출·여행 서브백,클래식한 스타일에 신선한 감각을 더해주는 미니 보스턴 백입니다.,나파 가죽 트림; 양방향 지퍼; 24K 금 도금 하드웨어; 내부 오픈 포켓·카드 슬롯; MCM 로고 플레이트; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWBAASE03CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWBAASE03CO001.html,MWBAASE03CO001
미니 Pina 스터드 장식 카프스킨 드로우스트링 백팩,여성,핸드백 > 백팩·벨트백,100% 카프스킨,11 x 23 x 25 cm / 스트랩 85~96cm,Black,"₩2,390,000","""메탈 로고 스터드 장식, 체인 핸들""의 럭셔리 스트리트","""탈부착 가능한 숄더 스트랩으로 실용성을 더한"" — 백팩·숄더 2way","메탈 로고 스터드 장식, 체인 핸들, 탈부착 가능한 숄더 스트랩으로 실용성을 더한 그레인 가죽 드로우스트링 백팩",탈부착 숄더 스트랩; 가죽 탑 핸들; 체인 핸들; 앞면 플랩 포켓; 마그네틱 스냅+드로스트링; 이탈리아 제조,https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWKGATA01BK001.html,MWKGATA01BK001
S Aren 비세토스 드로우스트링 백팩,여성,핸드백 > 백팩·벨트백,"비세토스 모노그램 캔버스, 천연 가죽","약 13 x 29 x 32 cm / 스트랩 76~83cm, 핸들 8.5cm","Cognac, Soft Pink","₩1,650,000","""버클 하드웨어 장식""의 캐주얼 시크",길이 조절 숄더 스트랩 — 데일리·캠퍼스·여행,버클 하드웨어 장식과 천연 가죽 트림이 더해진 비세토스 모노그램 캔버스 드로우스트링 백팩,길이 조절 숄더 스트랩; 가죽 탑 핸들; 마그네틱 스냅+드로스트링; 자석 잠금 앞면 플랩 포켓; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWKFATA01CO001.html,MWKFATA01CO001
미니 Aren 비세토스 드로우스트링 백팩,여성,핸드백 > 백팩·벨트백,"비세토스 모노그램 캔버스, 천연 가죽",11 x 23 x 25 cm / 스트랩 85~96cm,Cognac,"₩1,490,000","""탈부착 가능한 체인 핸들""의 페미닌 캐주얼","""컨버터블 백팩"" — 백팩·숄더·체인 3way","탈부착 가능한 체인 핸들과 숄더 스트랩, 천연 가죽 트림이 더해진 비세토스 모노그램 캔버스 컨버터블 백팩",탈부착 숄더 스트랩; 가죽 탑 핸들; 탈착 체인 핸들; 앞면 플랩 포켓; 버클 장식; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWKFATA02CO001.html,MWKFATA02CO001
미니 Aren 비세토스 트라이엥글 크로스바디,여성,핸드백 > 클러치·파우치,"비세토스 모노그램 캔버스, 나파 가죽 트림",6 x 24 x 19 cm / 스트랩 104~128cm,Cognac,"₩790,000","""뮌헨 헤리티지 디자인""의 미니멀 캐주얼","""크로스바디 또는 벨트백으로 연출 가능"" — 가벼운 외출·페스티벌",나파 가죽 트림과 가죽 크로스바디 스트랩을 더한 비세토스 모노그램 캔버스 트라이앵글 백,분리형 조절 크로스바디 스트랩; 로고 황동 플레이트; 지퍼 클로저; 내부 카드 슬롯; 후면 가죽 벨트 루프,https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA05CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYZGATA05CO001.html,MYZGATA05CO001
Aren 비세토스 크로스바디 파우치,여성,핸드백 > 클러치·파우치,"비세토스 모노그램 캔버스, 나파 가죽",약 2 x 26 x 15 cm / 스트랩 111.5~135.5cm,"Cognac, Black","₩690,000",슬림 실루엣의 데일리 미니멀,탈착·길이 조절 레더 스트랩 — 가벼운 외출·서브백,가죽 크로스바디 스트랩과 나파 가죽 트림이 더해진 비세토스 모노그램 캔버스 지퍼 파우치,탈착·길이 조절 레더 스트랩; 뒷면 외부 슬립 포켓; 지퍼 클로저; 내부 카드 슬롯; 코튼 트윌 안감; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA01CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYZGATA01CO001.html,MYZGATA01CO001
S Diamond 비세토스 레더 믹스 클러치,여성,핸드백 > 클러치·파우치,"비세토스 모노그램 캔버스, 카프스킨 레더",약 5 x 28 x 13 cm / 스트랩 115~131cm,Cognac,"₩1,050,000","""체인 스트랩과 카프스킨 레더 트림""의 세미 드레시",탈부착 체인 스트랩 — 이브닝·디너·행사,체인 스트랩과 카프스킨 레더 트림이 더해진 비세토스 모노그램 캔버스 클러치,탈부착·길이 조절 체인 스트랩; 뒷면 외부 슬립 포켓; 마그네틱 탭 클로저; 내부 슬립·지퍼 수납; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MWCGAAK01CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MWCGAAK01CO001.html,MWCGAAK01CO001
Aren 맥시 모노그램 레더 체인 크로스바디,여성,핸드백 > 클러치·파우치,천연 풀그레인 가죽,"약 5 x 20 x 11 cm / 스트랩 드롭 55cm, 핸들 드롭 20cm",Lotus Pink,"₩950,000","""엠보싱 처리된 맥시 모노그램""의 로맨틱 시크",체인 핸들 + 가죽 스트랩 2way — 데이트·이브닝,"엠보싱 처리된 맥시 모노그램과 체인 핸들, 가죽 스트랩이 더해진 천연 풀그레인 가죽 크로스바디 백",탈부착 레더 스트랩; 탈착 체인 핸들; 뒷면 외부 슬립 포켓; 16K 골드 도금 메탈 하드웨어; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA07QA001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYZGSTA07QA001.html,MYZGSTA07QA001
Aren 그라데이션 비세토스 손목 스트랩 파우치,여성,핸드백 > 클러치·파우치,"비세토스 모노그램 캔버스, 천연 가죽",약 5 x 30 x 22 cm / 핸들 스트랩 드롭 21cm,Della Robbia Blue,"₩830,000","""그라데이션 모티프""의 모던 아티스틱","손목 스트랩 스탠딩 파우치 — 서류·태블릿 수납, 오피스",그라데이션 모티프에 가죽 손목 스트랩이 더해진 비세토스 모노그램 캔버스 스탠딩 지퍼 파우치,탈부착 가죽 손목 스트랩; 그라데이션 효과; 지퍼 클로저; 내부 지퍼 포켓; 실버톤 코발트 메탈 하드웨어,https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA04L8001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYZGSTA04L8001.html,MYZGSTA04L8001
M MCM X We The Best 비세토스 크로스바디 파우치,여성,핸드백 > 클러치·파우치,"비세토스 모노그램 캔버스 바디, 나파 가죽 트림, 코튼 트윌 안감",약 2 x 30 x 21 cm / 스트랩 60cm,Cognac,"₩850,000","""마이애미의 청량한 에너지를 연상시키는 선명한 블루 톤""의 협업 스트리트","""클러치로도 유연하게 연출할 수 있습니다"" — 크로스·클러치 2way","마이애미의 청량한 에너지를 연상시키는 선명한 블루 톤의 부드러운 나파 가죽 디테일이 돋보이는 협업 크로스바디 파우치로, 탈착 가능한 스트랩과 클러치로도 유연하게 연출할 수 있습니다.","탈착·길이 조절 크로스바디 스트랩; 탈착 ""We The Best"" 참; 히든 스냅 뒷면 포켓; 탑 지퍼; 제조국 대한민국",https://images.mcmworldwide.com/i/mcmworldwide/MYZGATA10CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYZGATA10CO001.html,MYZGATA10CO001
M 비세토스 오리지널 크로스바디 파우치,여성,핸드백 > 클러치·파우치,"비세토스 모노그램 코팅 캔버스, 천연 나파 가죽 트림, 코튼 트윌 안감",약 3 x 30 x 22 cm / 스트랩 60cm,Soft Pink,"₩730,000","""차분한 소프트 핑크 컬러""의 클래식 페미닌","""클러치 또는 크로스바디 스타일 착용 가능"" — 데일리·서브백",차분한 소프트 핑크 컬러로 디자인되었으며 넉넉한 코튼 트윌 소재의 내부와 귀중품을 보관할 수 있는 여러 개의 수납공간이 돋보이는 클래식 비세토스 모노그램 파우치,탈부착·조절 크로스바디 스트랩; 히든 스냅 뒷면 포켓; 상단 지퍼; 18K 금 도금 메탈 하드웨어; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MYZAAVI02PZ001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYZAAVI02PZ001.html,MYZAAVI02PZ001
L Pina 스터드 장식 크로스바디 월렛,여성,지갑·레더소품,"100% 카프스킨(바디), 나파 가죽(트림)",4 x 20 x 11 cm / 스트랩 133~157cm,Black,"₩930,000","""메탈 스터드 장식과 나파 가죽 트림""의 미니멀 글램","""클러치 또는 크로스바디로 착용 가능"" — 지갑 겸 미니백",메탈 스터드 장식과 나파 가죽 트림이 돋보이는 그레인 가죽 크로스바디 월렛,탈부착·길이 조절 가죽 스트랩; 스냅 클로저; 내부 카드 슬롯·지폐·지퍼 수납; 24K 골드 도금 브라스 하드웨어,https://images.mcmworldwide.com/i/mcmworldwide/MYLGATA03BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYLGATA03BK001.html,MYLGATA03BK001
S Pina 스터드 장식 카프스킨 지갑,여성,지갑·레더소품,"100% 카프스킨(바디), 나파 가죽(트림)",약 3 x 11 x 8 cm (S),Black,"₩590,000","""골드 톤 메탈 스터드와 아이코닉한 로고 브라스 플레이트""의 컴팩트 글램",체인 스트랩 포함 컴팩트 월렛 — 데일리·미니백 수납,"메탈 스터드 장식과 나파 가죽 트림이 돋보이는 그레인 가죽 월렛으로, 골드 톤 메탈 스터드와 아이코닉한 로고 브라스 플레이트가 고급스러운 분위기를 더함",금속 로고 스터드; 로고 브라스 플레이트; 스냅 클로저; 내부 카드 슬롯·지퍼 포켓·체인 스트랩; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MYSGAAF01BK001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYSGAAF01BK001.html,MYSGAAF01BK001
S Pina 스터드 장식 비세토스 지갑,여성,지갑·레더소품,"비세토스 모노그램 캔버스 바디, 나파 가죽 트림",약 3 x 11 x 8 cm (S),Cognac,"₩550,000","""하우스의 시그니처 코드""를 담은 헤리티지",컴팩트 월렛 — 데일리·미니백 수납,메탈 스터드 장식과 나파 가죽 트림이 돋보이는 비세토스 모노그램 지갑으로 골드 톤 메탈 스터드와 로고 브라스 플레이트로 하우스의 시그니처 코드를 담아냄,금속 로고 스터드; 로고 브라스 플레이트; 스냅 클로저; 내부 카드 슬롯·지퍼 포켓·체인 스트랩; 제조국 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MYSGATA01CO001_01?&fmt=auto&qlt=default,https://kr.mcmworldwide.com/ko_KR/MYSGATA01CO001.html,MYSGATA01CO001
